"","Attentional_load","Subjectnumber","Day","PercentCorrect"
"61","1",601,1,87.5
"62","1",601,2,80
"63","1",601,3,83.3333333333333
"64","1",602,1,88.8888888888889
"65","1",602,2,78.9473684210526
"66","1",602,3,73.6842105263158
"67","1",603,1,66.6666666666667
"68","1",603,2,89.4736842105263
"69","1",603,3,61.1111111111111
"70","1",604,1,70
"71","1",604,2,90
"72","1",604,3,85
"73","1",605,1,80
"74","1",605,2,95
"75","1",605,3,94.4444444444444
"76","1",606,1,85
"77","1",606,2,61.1111111111111
"78","1",606,3,78.9473684210526
"79","1",607,1,80
"80","1",607,2,80
"81","1",607,3,75
"82","1",608,1,80
"83","1",608,2,100
"84","1",608,3,84.2105263157895
"85","1",609,1,68.4210526315789
"86","1",609,2,63.1578947368421
"87","1",609,3,57.8947368421053
"88","1",610,1,88.8888888888889
"89","1",610,2,95
"90","1",610,3,85
"91","1",611,1,85
"92","1",611,2,75
"93","1",611,3,75
"94","1",612,1,55
"95","1",612,2,70
"96","1",612,3,55
"97","1",613,1,82.3529411764706
"98","1",613,2,75
"99","1",613,3,65
"100","1",614,1,35
"101","1",614,2,38.8888888888889
"102","1",614,3,78.9473684210526
"103","1",615,1,100
"104","1",615,2,94.1176470588235
"105","1",615,3,100
"106","1",616,1,94.7368421052632
"107","1",616,2,94.7368421052632
"108","1",616,3,94.7368421052632
"109","1",617,1,95
"110","1",617,2,85
"111","1",617,3,89.4736842105263
"112","1",618,1,75
"113","1",618,2,90.9090909090909
"114","1",618,3,62.5
"115","1",619,1,94.4444444444444
"116","1",619,2,81.8181818181818
"117","1",619,3,100
"118","1",620,1,68.4210526315789
"119","1",620,2,75
"120","1",620,3,68.4210526315789
"121","2",601,1,65.7894736842105
"122","2",601,2,80
"123","2",601,3,83.3333333333333
"124","2",602,1,69.4444444444444
"125","2",602,2,73.6842105263158
"126","2",602,3,73.6842105263158
"127","2",603,1,50
"128","2",603,2,57.8947368421053
"129","2",603,3,58.3333333333333
"130","2",604,1,75
"131","2",604,2,80
"132","2",604,3,89.4736842105263
"133","2",605,1,75
"134","2",605,2,71.0526315789474
"135","2",605,3,82.5
"136","2",606,1,52.5
"137","2",606,2,60
"138","2",606,3,60.5263157894737
"139","2",607,1,72.5
"140","2",607,2,72.5
"141","2",607,3,75
"142","2",608,1,92.1052631578947
"143","2",608,2,78.9473684210526
"144","2",608,3,65.7894736842105
"145","2",609,1,47.5
"146","2",609,2,45
"147","2",609,3,67.5
"148","2",610,1,68.4210526315789
"149","2",610,2,72.5
"150","2",610,3,83.3333333333333
"151","2",611,1,85
"152","2",611,2,82.5
"153","2",611,3,82.5
"154","2",612,1,62.5
"155","2",612,2,47.5
"156","2",612,3,42.5
"157","2",613,1,65.625
"158","2",613,2,65
"159","2",613,3,69.4444444444444
"160","2",614,1,47.2222222222222
"161","2",614,2,47.2222222222222
"162","2",614,3,55.2631578947368
"163","2",615,1,88.8888888888889
"164","2",615,2,83.3333333333333
"165","2",615,3,94.7368421052632
"166","2",616,1,81.5789473684211
"167","2",616,2,73.6842105263158
"168","2",616,3,85
"169","2",617,1,73.6842105263158
"170","2",617,2,77.5
"171","2",617,3,87.5
"172","2",618,1,73.6842105263158
"173","2",618,2,53.3333333333333
"174","2",618,3,84.375
"175","2",619,1,56.25
"176","2",619,2,83.3333333333333
"177","2",619,3,90.625
"178","2",620,1,60
"179","2",620,2,73.6842105263158
"180","2",620,3,66.6666666666667
"181","3",601,1,75.9259259259389
"182","3",601,2,81.2500000000063
"183","3",601,3,82.3529411764706
"184","3",602,1,62.7450980392294
"185","3",602,2,63.333333333345
"186","3",602,3,68.5185185185333
"187","3",603,1,50
"188","3",603,2,50.8771929824632
"189","3",603,3,44.999999999995
"190","3",604,1,71.666666666685
"191","3",604,2,73.333333333335
"192","3",604,3,70.00000000001
"193","3",605,1,76.666666666675
"194","3",605,2,65
"195","3",605,3,71.66666666667
"196","3",606,1,58.333333333345
"197","3",606,2,46.2962962962889
"198","3",606,3,61.1111111111167
"199","3",607,1,70.00000000001
"200","3",607,2,70.00000000001
"201","3",607,3,76.66666666667
"202","3",608,1,81.66666666668
"203","3",608,2,63.1578947368421
"204","3",608,3,58.333333333335
"205","3",609,1,58.333333333335
"206","3",609,2,53.333333333335
"207","3",609,3,59.2592592592611
"208","3",610,1,73.333333333335
"209","3",610,2,76.666666666685
"210","3",610,3,70.83333333335
"211","3",611,1,73.333333333345
"212","3",611,2,80.000000000015
"213","3",611,3,73.33333333334
"214","3",612,1,46.666666666665
"215","3",612,2,60.000000000015
"216","3",612,3,55.000000000005
"217","3",613,1,66.6666666666833
"218","3",613,2,61.66666666667
"219","3",613,3,63.1578947368579
"220","3",614,1,33.3333333333222
"221","3",614,2,46.666666666655
"222","3",614,3,61.666666666675
"223","3",615,1,80.7017543859789
"224","3",615,2,82.3529411764706
"225","3",615,3,81.66666666667
"226","3",616,1,81.666666666685
"227","3",616,2,74.0740740740778
"228","3",616,3,90.7407407407444
"229","3",617,1,64.9122807017684
"230","3",617,2,72.2222222222222
"231","3",617,3,57.4074074074111
"232","3",618,1,68.4210526315895
"233","3",618,2,54.9019607843118
"234","3",618,3,62.7450980392176
"235","3",619,1,68.5185185185444
"236","3",619,2,93.9393939394
"237","3",619,3,84.6153846154
"238","3",620,1,50.000000000005
"239","3",620,2,61.666666666675
"240","3",620,3,63.1578947368579
"241","4",601,1,67.3076923076923
"242","4",601,2,77.9411764705882
"243","4",601,3,86.5384615384615
"244","4",602,1,55.2631578947368
"245","4",602,2,68.0555555555556
"246","4",602,3,65.2777777777778
"247","4",603,1,46.6666666666667
"248","4",603,2,48.6111111111111
"249","4",603,3,42.1052631578947
"250","4",604,1,62.5
"251","4",604,2,68.75
"252","4",604,3,73.75
"253","4",605,1,71.25
"254","4",605,2,67.1052631578947
"255","4",605,3,60
"256","4",606,1,51.3157894736842
"257","4",606,2,44.7368421052632
"258","4",606,3,53.75
"259","4",607,1,63.1578947368421
"260","4",607,2,58.75
"261","4",607,3,67.1052631578947
"262","4",608,1,67.1052631578947
"263","4",608,2,75
"264","4",608,3,51.3157894736842
"265","4",609,1,56.5789473684211
"266","4",609,2,56.25
"267","4",609,3,57.5
"268","4",610,1,58.3333333333333
"269","4",610,2,62.5
"270","4",610,3,68.0555555555556
"271","4",611,1,61.25
"272","4",611,2,71.25
"273","4",611,3,57.5
"274","4",612,1,76.3888888888889
"275","4",612,2,65
"276","4",612,3,67.5
"277","4",613,1,59.7222222222222
"278","4",613,2,53.9473684210526
"279","4",613,3,56.9444444444444
"280","4",614,1,26.25
"281","4",614,2,40.7894736842105
"282","4",614,3,61.25
"283","4",615,1,70.8333333333333
"284","4",615,2,77.5
"285","4",615,3,71.25
"286","4",616,1,67.5
"287","4",616,2,73.75
"288","4",616,3,73.75
"289","4",617,1,73.75
"290","4",617,2,60.5263157894737
"291","4",617,3,62.5
"292","4",618,1,65.7894736842105
"293","4",618,2,51.9230769230769
"294","4",618,3,61.6666666666667
"295","4",619,1,69.6428571428571
"296","4",619,2,71.1538461538462
"297","4",619,3,79.5454545454545
"298","4",620,1,53.9473684210526
"299","4",620,2,63.8888888888889
"300","4",620,3,64.4736842105263
"301","5",601,1,62.8571428571429
"302","5",601,2,81.3333333333333
"303","5",601,3,85
"304","5",602,1,56.25
"305","5",602,2,63.1578947368421
"306","5",602,3,71.1111111111111
"307","5",603,1,45.2631578947368
"308","5",603,2,50
"309","5",603,3,50
"310","5",604,1,53
"311","5",604,2,63
"312","5",604,3,66
"313","5",605,1,64
"314","5",605,2,60
"315","5",605,3,60
"316","5",606,1,51
"317","5",606,2,45
"318","5",606,3,46.3157894736842
"319","5",607,1,58.9473684210526
"320","5",607,2,61
"321","5",607,3,55.5555555555556
"322","5",608,1,53
"323","5",608,2,58
"324","5",608,3,47.7777777777778
"325","5",609,1,52
"326","5",609,2,51
"327","5",609,3,54
"328","5",610,1,60
"329","5",610,2,69.4736842105263
"330","5",610,3,72.6315789473684
"331","5",611,1,62
"332","5",611,2,57
"333","5",611,3,59
"334","5",612,1,74.4444444444444
"335","5",612,2,74.1176470588235
"336","5",612,3,69
"337","5",613,1,60
"338","5",613,2,60
"339","5",613,3,59
"340","5",614,1,33
"341","5",614,2,43
"342","5",614,3,54.7368421052632
"343","5",615,1,63.1578947368421
"344","5",615,2,75.5555555555556
"345","5",615,3,76
"346","5",616,1,61
"347","5",616,2,63.3333333333333
"348","5",616,3,77
"349","5",617,1,56.8421052631579
"350","5",617,2,51
"351","5",617,3,58.6666666666667
"352","5",618,1,66.6666666666667
"353","5",618,2,56.25
"354","5",618,3,47.5
"355","5",619,1,58.4615384615385
"356","5",619,2,68.8888888888889
"357","5",619,3,77.1428571428571
"358","5",620,1,50.5263157894737
"359","5",620,2,55.7894736842105
"360","5",620,3,55.5555555555556
